Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Morgan 60,Fin with rudder on skeg,2 Mst. Schooner,59.92 ft / 18.26 m,50.00 ft / 15.24 m,"1,400.00 ft² / 130.06 m²",15.83 ft / 4.82 m,"60,000.00 lb / 27,216 kg","19,000.00 lb / 8,618 kg",6.67 ft / 2.03 m,FG,NA,1980,NA,NA,Morgan Yachts/Catalina Yachts (USA),Morgan Yachts,NA,NA,NA
Alberg 23,Long Keel,Fractional Sloop,22.50 ft / 6.86 m,16.25 ft / 4.95 m,250.00 ft² / 23.23 m²,7.00 ft / 2.13 m,"3,350.00 lb / 1,520 kg","1,400.00 lb / 635 kg",3.10 ft / 0.94 m,FG,NA,1970,NA,NA,C.E.Ryder,Carl Alberg,NA,NA,NA
Sailcrafter 32,Fin with rudder on skeg,Masthead Sloop,31.92 ft / 9.73 m,26.75 ft / 8.15 m,445.00 ft² / 41.34 m²,9.42 ft / 2.87 m,"12,000.00 lb / 5,443 kg","5,100.00 lb / 2,313 kg",5.83 ft / 1.78 m,FG,NA,1977,NA,NA,Sailcrafter (USA),William H. Tripp Jr.,3.92 ft / 1.19 m,NA,NA
Kings Legend 41,Fin with rudder on skeg,Masthead Sloop,41.42 ft / 12.62 m,31.48 ft / 9.60 m,742.00 ft² / 68.93 m²,11.33 ft / 3.45 m,"19,200.00 lb / 8,709 kg","8,000.00 lb / 3,629 kg",5.83 ft / 1.78 m,FG,Lead,1981,NA,NA,Sen Koh Ship Builders (TAIWAN),Eva Hollman,NA,NA,NA
Nassau  34,Long Keel,Cutter,33.92 ft / 10.34 m,28.50 ft / 8.69 m,600.00 ft² / 55.74 m²,10.75 ft / 3.28 m,"14,250.00 lb / 6,464 kg","5,300.00 lb / 2,404 kg",5.00 ft / 1.52 m,FG w/balsa cored deck,NA,1982,NA,60,President Marine Ltd. (TAIWAN),George Stadell III,NA,NA,NA
Southern Cross 32,Fin with rudder on skeg,Cutter,32.25 ft / 9.83 m,25.42 ft / 7.75 m,524.00 ft² / 48.68 m²,10.75 ft / 3.28 m,"11,391.00 lb / 5,167 kg","4,357.00 lb / 1,976 kg",4.92 ft / 1.50 m,FG,NA,1980,NA,NA,C. E. Ryder Corp. (USA),Ken Upham/Mike Price,NA,NA,NA
Morgan Out Island 33 Ms,Long Keel,Masthead Sloop,33.00 ft / 10.06 m,27.50 ft / 8.38 m,457.00 ft² / 42.46 m²,11.83 ft / 3.61 m,"14,500.00 lb / 6,577 kg","5,000.00 lb / 2,268 kg",3.92 ft / 1.19 m,FG,NA,1980,NA,29,Morgan Yachts (USA),Charles Morgan,NA,NA,NA
Najad 371,Fin with rudder on skeg,Masthead Sloop,37.73 ft / 11.50 m,31.82 ft / 9.70 m,600.00 ft² / 55.74 m²,11.48 ft / 3.50 m,"19,841.00 lb / 9,000 kg","8,157.00 lb / 3,700 kg",5.74 ft / 1.75 m,FG,Iron,1983,1985,NA,Najad Varvet AB,Peter Norlin,NA,NA,NA
Blue Crab 11,Dbrd. Dinghy,Fractional Sloop,11.08 ft / 3.38 m,10.25 ft / 3.12 m,88.00 ft² / 8.18 m²,5.17 ft / 1.58 m,200.00 lb / 91 kg,NA,2.75 ft / 0.84 m,FG,NA,1971,NA,900,Mobjack Manufacturing Inc. (USA),Harry R. Sindle,0.25 ft / 0.08 m,NA,NA
Spirit 24 (Van De Stadt),Fin w/spade rudder,Masthead Sloop,24.28 ft / 7.40 m,18.70 ft / 5.70 m,282.00 ft² / 26.20 m²,7.41 ft / 2.26 m,"2,977.00 lb / 1,350 kg","1,256.00 lb / 570 kg",4.92 ft / 1.50 m,FG,NA,1967,NA,NA,Van Heygen (BEL),E. G. van de Stadt,NA,NA,NA
Edel 730,Keel/Cbrd.,Masthead Sloop,23.95 ft / 7.30 m,16.24 ft / 4.95 m,322.00 ft² / 29.91 m²,8.20 ft / 2.50 m,"2,756.00 lb / 1,250 kg","1,102.00 lb / 500 kg",4.76 ft / 1.45 m,FG,NA,1981,1983,50,Edel (FRA),Maurice Edel,2.30 ft / 0.70 m,NA,NA
Irwin 1/2 Ton Mkii,Lifting Keel,Masthead Sloop,32.00 ft / 9.75 m,24.42 ft / 7.44 m,412.00 ft² / 38.28 m²,11.33 ft / 3.45 m,"7,300.00 lb / 3,311 kg","3,500.00 lb / 1,588 kg",6.50 ft / 1.98 m,FG,Lead,1977,NA,NA,Irwin Yacht & Marine Corporation (USA),Ted Irwin,3.50 ft / 1.07 m,NA,NA
Talisman 37,Fin with rudder on skeg,Masthead Sloop,37.00 ft / 11.28 m,30.00 ft / 9.14 m,525.00 ft² / 48.77 m²,11.50 ft / 3.51 m,"17,000.00 lb / 7,711 kg","4,200.00 lb / 1,905 kg",4.50 ft / 1.37 m,FG,NA,1971,NA,NA,NA,NA,NA,NA,NA
Irwin 34,Fin w/spade rudder,Masthead Sloop,34.60 ft / 10.55 m,27.33 ft / 8.33 m,544.00 ft² / 50.54 m²,11.25 ft / 3.43 m,"11,500.00 lb / 5,216 kg","4,500.00 lb / 2,041 kg",5.33 ft / 1.62 m,FG,NA,1982,NA,NA,Irwin Yachts (USA),Ted Irwin,NA,NA,NA
Bradwell 18,Swing Keel,Masthead Sloop,18.75 ft / 5.72 m,16.83 ft / 5.13 m,148.00 ft² / 13.75 m²,6.25 ft / 1.91 m,"1,200.00 lb / 544 kg",400.00 lb / 181 kg,3.25 ft / 0.99 m,FG,NA,1973,NA,NA,Bradwell/Trident Laminates Ltd. (UK),P. E. Ferguson,1.25 ft / 0.38 m,NA,NA
Martin 16,Lifting Keel,Fractional Sloop,16.00 ft / 4.88 m,16.00 ft / 4.88 m,100.00 ft² / 9.29 m²,4.33 ft / 1.32 m,730.00 lb / 331 kg,330.00 lb / 150 kg,3.33 ft / 1.01 m,FG,Lead,1995,NA,110,Martin,Don Martin,1.33 ft / 0.41 m,NA,NA
Edel Cat 15,Catamaran (no boards/asym.),Fractional Sloop,15.26 ft / 4.65 m,NA,146.00 ft² / 13.56 m²,7.38 ft / 2.25 m,198.00 lb / 90 kg,NA,0.50 ft / 0.15 m,FG,NA,1984,NA,NA,Edel (FRA),Edel,NA,NA,NA
Edel Cat 26,Catamaran Twin Keel,Fractional Sloop,27.23 ft / 8.30 m,NA,355.00 ft² / 32.98 m²,13.45 ft / 4.10 m,"1,653.00 lb / 750 kg",NA,1.80 ft / 0.55 m,FG,NA,1983,NA,NA,Edel (FRA),Sylvestre Langevin,NA,NA,NA
Edel Cat 33,Catamaran Twin Keel,Fractional Sloop,33.79 ft / 10.30 m,NA,645.00 ft² / 59.92 m²,19.78 ft / 6.03 m,"7,200.00 lb / 3,266 kg",NA,2.62 ft / 0.80 m,FG,NA,1985,NA,NA,Edel (FRA),Yvonne Faulconnier,NA,NA,NA
Edel Cat 35 -1 (Adventure 10m),Catamaran Twin Keel,Fractional Sloop,34.78 ft / 10.60 m,31.51 ft / 9.60 m,720.00 ft² / 66.89 m²,19.82 ft / 6.04 m,"7,000.00 lb / 3,175 kg",NA,2.83 ft / 0.86 m,FG,NA,1985,NA,NA,Edel (FRA),Marc Edel,NA,NA,NA
Picnic 17,Centerboard (Trunk),Fractional Sloop,17.00 ft / 5.18 m,15.33 ft / 4.67 m,187.00 ft² / 17.37 m²,6.50 ft / 1.98 m,700.00 lb / 318 kg,NA,2.25 ft / 0.69 m,FG,NA,1959,NA,350,General Boats Corp./Lofland-Sailcraft (USA),Nils Lucander,0.83 ft / 0.25 m,NA,NA
Austral 24,Swing Keel,Masthead Sloop,24.50 ft / 7.47 m,NA,NA,7.67 ft / 2.34 m,"5,000.00 lb / 2,268 kg",938.00 lb / 425 kg,5.00 ft / 1.52 m,FG,NA,1980,NA,NA,Austral Yachts Pty. Ltd. (AU),NA,1.25 ft / 0.38 m,NA,NA
Blazer 23 (Peterson),Lifting Keel,Fractional Sloop,23.00 ft / 7.01 m,20.50 ft / 6.25 m,242.00 ft² / 22.48 m²,8.00 ft / 2.44 m,"1,700.00 lb / 771 kg",350.00 lb / 159 kg,4.25 ft / 1.30 m,FG,Lead,1980,NA,NA,Stephenson Sailboats (AUSTRALIA),Doug Peterson,0.75 ft / 0.23 m,NA,NA
Careel 22,Swing Keel,Fractional Sloop,22.75 ft / 6.93 m,NA,244.00 ft² / 22.67 m²,8.08 ft / 2.46 m,"2,623.00 lb / 1,190 kg",754.00 lb / 342 kg,5.00 ft / 1.52 m,FG,NA,1984,NA,126,David Rose Yachts (AU),Joe Adams,1.16 ft / 0.35 m,NA,NA
Van De Stadt 7.1,Lifting Keel,Fractional Sloop,23.29 ft / 7.10 m,18.70 ft / 5.70 m,225.00 ft² / 20.90 m²,8.20 ft / 2.50 m,"5,346.00 lb / 2,425 kg","1,263.00 lb / 573 kg",4.27 ft / 1.30 m,FG,Lead,1985,NA,NA,GJ Tech (AU),Van de Stadt,0.98 ft / 0.30 m,NA,NA
Cole 23,Swing Keel,Masthead Sloop,22.83 ft / 6.96 m,19.75 ft / 6.02 m,225.00 ft² / 20.90 m²,10.00 ft / 3.05 m,"2,100.00 lb / 953 kg",830.00 lb / 376 kg,4.43 ft / 1.35 m,FG,NA,1982,NA,NA,North Shore Associates (AU),P. Cole & Assoc.,1.15 ft / 0.35 m,NA,NA
Whitney 41,Fin with rudder on skeg,Masthead Sloop,41.00 ft / 12.50 m,35.83 ft / 10.92 m,812.00 ft² / 75.44 m²,14.00 ft / 4.27 m,"23,000.00 lb / 10,433 kg","7,621.00 lb / 3,457 kg",6.50 ft / 1.98 m,FG-PVC core,NA,1972,NA,9,Whitney Operations,Alan Gurney,NA,NA,NA
Sailcrafter 50,Fin w/spade rudder,Masthead Sloop,50.00 ft / 15.24 m,33.25 ft / 10.13 m,979.00 ft² / 90.95 m²,12.03 ft / 3.67 m,"32,000.00 lb / 14,515 kg","14,600.00 lb / 6,622 kg",6.52 ft / 1.99 m,FG,NA,1971,NA,NA,Sailcrafter/Columbia Yachts (USA),William Tripp Jr.,NA,NA,NA
Spacesailer 20,Fin w/transom hung rudder,Masthead Sloop,20.00 ft / 6.10 m,18.00 ft / 5.49 m,NA,7.83 ft / 2.39 m,"1,900.00 lb / 862 kg",700.00 lb / 318 kg,3.50 ft / 1.07 m,FG,Iron/Lead,1981,NA,NA,Swarbrick Brothers Yachts (AU),Kim Swarbrick,NA,NA,NA
Spacesailer 27,Fin with rudder on skeg,Masthead Sloop,27.00 ft / 8.23 m,23.67 ft / 7.21 m,346.00 ft² / 32.14 m²,9.25 ft / 2.82 m,"6,450.00 lb / 2,926 kg",NA,4.75 ft / 1.45 m,FG,NA,1973,NA,NA,Swarbrick Brothers Yachts/Halvorsen-Gowland (AU),Kim Swarbrick,NA,NA,NA
Varne 27,Fin with rudder on skeg,Masthead Sloop,27.75 ft / 8.46 m,21.00 ft / 6.40 m,344.00 ft² / 31.96 m²,9.00 ft / 2.74 m,"6,200.00 lb / 2,812 kg","2,595.00 lb / 1,177 kg",4.25 ft / 1.30 m,FG,NA,1974,NA,70,Varne Marine Ltd. (UK),Duncan Stuart,NA,NA,NA
Varne 850,Fin with rudder on skeg,Masthead Sloop,27.75 ft / 8.46 m,21.00 ft / 6.40 m,334.00 ft² / 31.03 m²,9.00 ft / 2.74 m,"6,200.00 lb / 2,812 kg","2,595.00 lb / 1,177 kg",4.25 ft / 1.30 m,FG,NA,1979,NA,NA,Varne Marine Ltd. / Weston Boats (UK),Duncan Stuart,NA,NA,NA
Monarch 17 (Nz),Swing Keel,Fractional Sloop,17.06 ft / 5.20 m,15.49 ft / 4.72 m,169.00 ft² / 15.70 m²,7.15 ft / 2.18 m,"1,300.00 lb / 590 kg",399.00 lb / 181 kg,3.44 ft / 1.05 m,FG,NA,1976,NA,250,Tasman Yachts (NZ),Alan Wright,0.98 ft / 0.30 m,NA,NA
Tropic 520,Swing Keel,Fractional Sloop,17.06 ft / 5.20 m,15.49 ft / 4.72 m,170.00 ft² / 15.79 m²,7.15 ft / 2.18 m,"1,300.00 lb / 590 kg",399.00 lb / 181 kg,3.44 ft / 1.05 m,FG,NA,1977,NA,NA,Tropic Trailer Yachts (AUSTRALIA),Alan Wright,0.98 ft / 0.30 m,NA,NA
Sabre 22 (Scott),Swing Keel,Fractional Sloop,21.65 ft / 6.60 m,19.03 ft / 5.80 m,233.00 ft² / 21.65 m²,8.16 ft / 2.49 m,"2,315.00 lb / 1,050 kg",750.00 lb / 340 kg,3.00 ft / 0.91 m,FG,Lead,1981,NA,NA,Sabre Yachts Australia Pty. Ltd.,Alan Scott,1.16 ft / 0.35 m,NA,NA
Parker 235,Lifting Keel,Fractional Sloop,23.50 ft / 7.16 m,20.90 ft / 6.37 m,233.00 ft² / 21.65 m²,8.50 ft / 2.59 m,"3,042.00 lb / 1,380 kg",728.00 lb / 330 kg,4.60 ft / 1.40 m,FG,NA,1994,NA,NA,Park Lift Keel Yachts (UK),Parker,1.00 ft / 0.30 m,NA,NA
South Coast 22 (Murray),Lifting Keel,Fractional Sloop,21.98 ft / 6.70 m,20.47 ft / 6.24 m,138.00 ft² / 12.82 m²,8.14 ft / 2.48 m,"2,383.00 lb / 1,081 kg",503.00 lb / 228 kg,4.82 ft / 1.47 m,FG,NA,1979,NA,NA,South Coast Yachts (AU),Iain Murray,0.82 ft / 0.25 m,NA,NA
Binks B25,Swing Keel,Fractional Sloop,25.66 ft / 7.82 m,23.00 ft / 7.01 m,321.00 ft² / 29.82 m²,8.17 ft / 2.49 m,"2,575.00 lb / 1,168 kg",600.00 lb / 272 kg,4.66 ft / 1.42 m,FG,Lead,1979,NA,NA,Binks Yacht Contructions (AU),David Binks,0.83 ft / 0.25 m,NA,NA
Adams 21,Keel/Cbrd.,Fractional Sloop,21.16 ft / 6.45 m,17.49 ft / 5.33 m,220.00 ft² / 20.44 m²,7.91 ft / 2.41 m,"1,964.00 lb / 891 kg",NA,4.00 ft / 1.22 m,FG,Lead,1977,NA,NA,Jarkan Yachts (AU),Adams,1.51 ft / 0.46 m,NA,NA
Seahawk 17,Swing Keel,Fractional Sloop,16.83 ft / 5.13 m,14.44 ft / 4.40 m,115.00 ft² / 10.68 m²,6.50 ft / 1.98 m,"1,202.00 lb / 545 kg",441.00 lb / 200 kg,2.99 ft / 0.91 m,Wood/FG,NA,1968,2001,NA,Reedcraft Ltd/R. Moore & Son. (UK),John A. Bennet,1.48 ft / 0.45 m,NA,NA
Young 5.2,Keel/Cbrd.,Fractional Sloop,17.08 ft / 5.21 m,NA,210.00 ft² / 19.51 m²,7.54 ft / 2.30 m,580.00 lb / 263 kg,NA,3.58 ft / 1.09 m,FG,Water Ballast,1975,NA,NA,Jim Young Marine Ltd. (NZ),Jim Young,1.00 ft / 0.30 m,NA,NA
Young 6m,Swing Keel,Fractional Sloop,19.68 ft / 6.00 m,NA,229.00 ft² / 21.27 m²,8.07 ft / 2.46 m,"1,153.00 lb / 523 kg",701.00 lb / 318 kg,4.76 ft / 1.45 m,Plywood,NA,1972,NA,NA,Jim Young or from plans,Jim Young,NA,NA,NA
First 40 (Beneteau),Fin w/bulb & spade rudder,Fractional Sloop,40.16 ft / 12.24 m,35.00 ft / 10.67 m,848.00 ft² / 78.78 m²,12.75 ft / 3.89 m,"16,614.00 lb / 7,536 kg","6,610.00 lb / 2,998 kg",8.04 ft / 2.45 m,FG,Lead,2007,NA,NA,Beneteau,Bruce Farr,NA,NA,NA
First 50 (Beneteau),Fin w/bulb & spade rudder,Fractional Sloop,49.16 ft / 14.98 m,43.50 ft / 13.26 m,"1,193.00 ft² / 110.83 m²",14.50 ft / 4.42 m,"30,379.00 lb / 13,780 kg","10,516.00 lb / 4,770 kg",7.83 ft / 2.39 m,FG,NA,2007,NA,NA,Beneteau,Phillipe Briand,NA,NA,NA
First 10r (Beneteau),Fin w/bulb & spade rudder,Fractional Sloop,32.75 ft / 9.98 m,28.67 ft / 8.74 m,574.00 ft² / 53.33 m²,11.08 ft / 3.38 m,"10,265.00 lb / 4,656 kg","3,693.00 lb / 1,675 kg",6.58 ft / 2.01 m,FG,NA,2006,NA,NA,Beneteau (USA),Farr Design,NA,NA,NA
Oceanis 54 (Beneteau),Fin Keel w/bulb,Fractional Sloop,54.75 ft / 16.69 m,49.17 ft / 14.99 m,"1,329.00 ft² / 123.47 m²",16.08 ft / 4.90 m,"31,574.00 lb / 14,322 kg","11,000.00 lb / 4,990 kg",7.58 ft / 2.31 m,FG,NA,2008,NA,NA,Beneteau,Berret Racoupeau,NA,NA,NA
Mak7,Lifting Keel,Fractional Sloop,24.61 ft / 7.50 m,22.97 ft / 7.00 m,NA,8.20 ft / 2.50 m,"2,646.00 lb / 1,200 kg",882.00 lb / 400 kg,5.22 ft / 1.59 m,FG,NA,2008,NA,20,Yacht Service,Leszec Gomciarz,1.31 ft / 0.40 m,NA,NA
Red Jacket 17,Fin w/transom hung rudder,Fractional Sloop,17.26 ft / 5.26 m,16.01 ft / 4.88 m,145.00 ft² / 13.47 m²,6.59 ft / 2.01 m,950.00 lb / 431 kg,450.00 lb / 204 kg,2.26 ft / 0.69 m,FG,NA,1973,NA,NA,Hill & Cameron Yachts (AUSTRALIA),Per Brohall,NA,NA,NA
Red Witch 19,Fin w/transom hung rudder,Fractional Sloop,19.39 ft / 5.91 m,NA,169.00 ft² / 15.70 m²,7.38 ft / 2.25 m,"1,433.00 lb / 650 kg",650.00 lb / 295 kg,4.17 ft / 1.27 m,FG,NA,1972,NA,240,Hill & Cameron Yachts (AUSTRALIA),Per Brohall,NA,NA,NA
Pedro 17,Twin Keel,Masthead Sloop,17.22 ft / 5.25 m,14.50 ft / 4.42 m,99.00 ft² / 9.20 m²,6.76 ft / 2.06 m,"1,098.00 lb / 498 kg",245.00 lb / 111 kg,1.48 ft / 0.45 m,FG,NA,1975,NA,NA,Florence Marine Int. (UK),John Bennet,NA,NA,NA
King Shark 20,Triple Keel,Masthead Sloop,20.25 ft / 6.17 m,18.50 ft / 5.64 m,190.00 ft² / 17.65 m²,6.83 ft / 2.08 m,"2,000.00 lb / 907 kg",725.00 lb / 329 kg,2.00 ft / 0.61 m,FG,Iron,1969,NA,NA,Threestrokes Ltd. (UK),Wayne Vetterlein,NA,NA,NA
Surprise 15,Centerboard Dinghy,Fractional Sloop,14.58 ft / 4.44 m,14.00 ft / 4.27 m,110.00 ft² / 10.22 m²,5.25 ft / 1.60 m,360.00 lb / 163 kg,NA,3.83 ft / 1.17 m,FG,NA,1969,NA,NA,Newport Boats (USA),Harry R. Sindle,0.33 ft / 0.10 m,NA,NA
Flying Fish,Centerboard Dinghy,Cat (rotating spar),14.00 ft / 4.27 m,NA,120.00 ft² / 11.15 m²,5.67 ft / 1.73 m,225.00 lb / 102 kg,NA,2.83 ft / 0.86 m,FG,NA,1970,NA,NA,AMF Alcort (USA),Carter Pyle/Joe Quigg,0.33 ft / 0.10 m,NA,NA
Grampian 17,Centerboard Dinghy,Fractional Sloop,16.50 ft / 5.03 m,15.50 ft / 4.72 m,152.00 ft² / 14.12 m²,6.18 ft / 1.88 m,490.00 lb / 222 kg,NA,4.33 ft / 1.32 m,FG,NA,1969,NA,NA,Grampian Marine Ltd. (CAN),Ian Proctor,0.67 ft / 0.20 m,NA,NA
Wildfire,Lifting Keel,Fractional Sloop,16.75 ft / 5.11 m,15.00 ft / 4.57 m,165.00 ft² / 15.33 m²,6.25 ft / 1.91 m,620.00 lb / 281 kg,250.00 lb / 113 kg,3.92 ft / 1.19 m,FG,NA,1968,NA,NA,O'Day Corp. (USA)/ Gmach & Co. (UK),Ian Proctor,0.92 ft / 0.28 m,NA,NA
Fantasie (Tucker),Triple Keel,Fractional Sloop,18.50 ft / 5.64 m,13.50 ft / 4.11 m,120.00 ft² / 11.15 m²,6.25 ft / 1.91 m,"1,568.00 lb / 711 kg",545.00 lb / 247 kg,1.50 ft / 0.46 m,Plywood,NA,1969,NA,NA,Aquaboats/Aln Boatyard (UK),Robert Tucker,NA,NA,NA
Catalac 11m,Catamaran Twin Keel,Masthead Sloop,35.76 ft / 10.90 m,NA,600.00 ft² / 55.74 m²,15.42 ft / 4.70 m,"13,000.00 lb / 5,897 kg",NA,2.76 ft / 0.84 m,FG,NA,1990,NA,NA,Hythe Marine Services (UK),Tom Lack/J. Winterbotom,NA,NA,NA
Lapworth 48,Fin with rudder on skeg,Cutter,48.00 ft / 14.63 m,43.00 ft / 13.11 m,NA,13.00 ft / 3.96 m,"32,000.00 lb / 14,515 kg","8,000.00 lb / 3,629 kg",8.00 ft / 2.44 m,Cold Molded,Lead,1970,1970,NA,Chapman and Associates (USA),William Lapworth,NA,NA,NA
First 45 (Beneteau - Briand),Fin w/bulb & spade rudder,Fractional Sloop,46.16 ft / 14.07 m,38.58 ft / 11.76 m,"1,002.00 ft² / 93.09 m²",13.75 ft / 4.19 m,"23,369.00 lb / 10,600 kg","8,543.00 lb / 3,875 kg",7.83 ft / 2.39 m,FG,NA,2008,NA,NA,Beneteau,Briand Design,NA,NA,NA
Beneteau 31,Fin w/bulb & spade rudder,Fractional Sloop,31.67 ft / 9.65 m,28.50 ft / 8.69 m,511.00 ft² / 47.47 m²,11.08 ft / 3.38 m,"8,933.00 lb / 4,052 kg","2,207.00 lb / 1,001 kg",5.83 ft / 1.78 m,FG,NA,2002,NA,NA,Beneteau,Groupe Finot,NA,NA,NA
Beneteau 34,Fin w/bulb & spade rudder,Fractional Sloop,33.92 ft / 10.34 m,30.67 ft / 9.35 m,542.00 ft² / 50.35 m²,12.00 ft / 3.66 m,"12,566.00 lb / 5,700 kg","3,208.00 lb / 1,455 kg",6.08 ft / 1.85 m,FG,Iron,2008,NA,NA,Beneteau (USA),Finot / Conq Assoc.,NA,NA,NA
Beneteau 37,Fin w/bulb & spade rudder,Fractional Sloop,37.67 ft / 11.48 m,34.08 ft / 10.39 m,620.00 ft² / 57.60 m²,12.83 ft / 3.91 m,"14,008.00 lb / 6,354 kg","4,253.00 lb / 1,929 kg",4.58 ft / 1.40 m,FG,NA,2006,NA,NA,Beneteau,Finot / Conq Assoc.,NA,NA,NA
Eleuthera 60,Catamaran Twin Keel,Frac. Sloop (Rotating Spar),59.90 ft / 18.26 m,NA,"1,185.00 ft² / 110.09 m²",28.10 ft / 8.56 m,"39,683.00 lb / 18,000 kg",NA,4.75 ft / 1.45 m,FG,NA,2009,NA,NA,Fountaine Pajot (FRA),Berret - Racoupeau,NA,NA,NA
Beneteau 57,Fin w/bulb & spade rudder,Fractional Sloop,58.40 ft / 17.80 m,49.25 ft / 15.01 m,"1,679.16 ft² / 156.00 m²",16.17 ft / 4.93 m,"48,623.00 lb / 22,055 kg","17,108.00 lb / 7,760 kg",8.53 ft / 2.60 m,FG,NA,2002,NA,NA,Beneteau,Farr Yacht Design,NA,NA,NA
Sun Fast 3200 (Jeanneau),Fin w/bulb & dual rudders,Fractional Sloop,33.08 ft / 10.08 m,32.00 ft / 9.75 m,529.00 ft² / 49.15 m²,11.42 ft / 3.48 m,"7,496.00 lb / 3,400 kg","2,866.00 lb / 1,300 kg",6.16 ft / 1.88 m,FG,Lead,2008,NA,NA,Jeanneau,Daniel Andrieu,NA,NA,NA
Gunboat 48,Catamaran Twin Dbrd.,Fractional Sloop,48.36 ft / 14.74 m,45.93 ft / 14.00 m,"1,372.00 ft² / 127.46 m²",24.25 ft / 7.39 m,"17,700.00 lb / 8,029 kg",NA,7.38 ft / 2.25 m,FG,NA,2006,NA,NA,Gunboat,Morelli & Melvin (USA),1.97 ft / 0.60 m,NA,NA
Gunboat 66,Catamaran Twin Dbrd.,Fractional Sloop,66.00 ft / 20.12 m,62.00 ft / 18.90 m,"2,232.00 ft² / 207.36 m²",28.16 ft / 8.58 m,"34,000.00 lb / 15,422 kg",NA,8.50 ft / 2.59 m,FG/epoxy/nomex,NA,2007,NA,NA,Gunboat,Morelli & Melvin (USA),2.20 ft / 0.67 m,NA,NA
Oceanis 393 (Beneteau),Fin w/bulb & spade rudder,Masthead Sloop,39.33 ft / 11.99 m,35.08 ft / 10.69 m,NA,13.00 ft / 3.96 m,"17,152.00 lb / 7,780 kg",NA,5.08 ft / 1.55 m,FG,NA,2002,NA,NA,Beneteau (FRA),Berret/Racoupeau,NA,NA,NA
Luders 27 (1960),Long Keel,Fractional Sloop,27.92 ft / 8.51 m,20.00 ft / 6.10 m,340.00 ft² / 31.59 m²,8.83 ft / 2.69 m,"7,600.00 lb / 3,447 kg","3,000.00 lb / 1,361 kg",4.25 ft / 1.30 m,FG,NA,1960,1985,NA,C. E. Ryder (USA),A. E. Luders,NA,NA,NA
Sun Odyssey 54 Ds (Jeanneau),Fin w/bulb & spade rudder,Masthead Sloop,54.92 ft / 16.74 m,48.50 ft / 14.78 m,"1,214.00 ft² / 112.78 m²",15.92 ft / 4.85 m,"37,479.00 lb / 17,000 kg","11,023.00 lb / 5,000 kg",6.50 ft / 1.98 m,FG,NA,2004,NA,NA,Jeanneau,Fauroux & Garroni,NA,NA,NA
Sun Odyssey 43 (Jeanneau),Fin w/spade rudder,Masthead Sloop,43.34 ft / 13.21 m,37.50 ft / 11.43 m,992.43 ft² / 92.20 m²,13.75 ft / 4.19 m,"20,503.00 lb / 9,300 kg","6,515.00 lb / 2,955 kg",6.56 ft / 2.00 m,FG,NA,1986,NA,NA,Jeanneau,Daniel Andrieu,NA,NA,NA
Sun Odyssey 45 Ds (Jeanneau),Fin Keel w/bulb,Fractional (9/10) Sloop,45.11 ft / 13.75 m,37.57 ft / 11.45 m,"1,072.09 ft² / 99.60 m²",14.34 ft / 4.37 m,"21,826.00 lb / 9,900 kg","6,512.00 lb / 2,954 kg",6.73 ft / 2.05 m,GRP,Cast iron,2007,NA,NA,Jeanneau (FRA),P. Briand,NA,NA,NA
Sun Odyssey 49 Ds (Jeanneau),Fin w/bulb & spade rudder,Masthead Sloop,49.15 ft / 14.98 m,42.32 ft / 12.90 m,977.00 ft² / 90.77 m²,16.37 ft / 4.99 m,"28,000.00 lb / 12,701 kg","9,039.00 lb / 4,100 kg",7.05 ft / 2.15 m,FG,Iron,2004,NA,NA,Jeanneau (FRA),Garonni / Briand,NA,NA,NA
Signet (Proctor),Centerboard Dinghy,Fractional Sloop,12.00 ft / 3.66 m,11.50 ft / 3.51 m,88.00 ft² / 8.18 m²,12.99 ft / 3.96 m,160.00 lb / 73 kg,NA,3.33 ft / 1.01 m,Plywood,NA,1961,NA,NA,NA,Ian Proctor,0.42 ft / 0.13 m,NA,NA
Dabchick,Scow Sngl. Cbrd.,Fractional Sloop,11.83 ft / 3.61 m,NA,59.00 ft² / 5.48 m²,3.77 ft / 1.15 m,85.00 lb / 39 kg,NA,1.97 ft / 0.60 m,Plywood/FG,NA,1957,NA,4000,NA,Jack Köper,0.25 ft / 0.08 m,NA,NA
Arcachonnais (Jeanneau),Keel/Cbrd.,Fractional Sloop,17.13 ft / 5.22 m,16.17 ft / 4.93 m,150.00 ft² / 13.94 m²,7.55 ft / 2.30 m,871.00 lb / 395 kg,198.00 lb / 90 kg,3.44 ft / 1.05 m,FG,NA,1969,NA,NA,Jeanneau (FRA),NA,1.41 ft / 0.43 m,NA,NA
Alize 20 (Jeanneau),Keel/Cbrd.,Fractional Sloop,19.85 ft / 6.05 m,18.04 ft / 5.50 m,179.00 ft² / 16.63 m²,6.73 ft / 2.05 m,992.00 lb / 450 kg,287.00 lb / 130 kg,3.94 ft / 1.20 m,FG,NA,1963,1975,350,Jeanneau (FRA),E. G van de Stadt,1.31 ft / 0.40 m,NA,NA
